date,Q_total,Q_sensible,Q_latent,outdoor_air_flow,heating_setpoint,cooling_setpoint,humidifying_setpoint,dehumidifying_setpoint,state
2001-01-03 22:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-03 23:30:00,168.43268766237452,168.43268766237452,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 00:30:00,385.84590538112843,385.84590538112843,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 01:30:00,528.8875361269975,528.8875361269975,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 02:30:00,633.4241059910546,633.4241059910546,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 03:30:00,717.1441969237676,717.1441969237676,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 04:30:00,797.3453343221399,797.3453343221399,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 05:30:00,865.2385438742858,865.2385438742858,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 06:30:00,932.8494473890314,932.8494473890314,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 07:30:00,991.5731186442699,991.5731186442699,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 08:30:00,955.1213052074818,955.1213052074818,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-04 09:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-04 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-04 11:30:00,-590.0466199357752,-590.0466199357752,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 12:30:00,-2268.212702434591,-2268.212702434591,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 13:30:00,-2278.260344346082,-2278.260344346082,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 14:30:00,-2718.1857509613556,-2718.1857509613556,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 15:30:00,-2788.1476350266284,-2788.1476350266284,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 16:30:00,-2000.6568744212482,-2000.6568744212482,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 17:30:00,-601.1591015936292,-601.1591015936292,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
2001-01-04 18:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-04 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-04 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-04 21:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
